"input","match","din/npn","dtc","ahfs","database","type","matches","both"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA  81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","simple","1","no"
"ASA -81mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","simple","1","no"
"ASA 325MG","ASA 325MG","00530336","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","direct","1","no"
"asa 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","direct","1","no"
"ASA 81 MG","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","direct","1","no"
"asa 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","direct","1","no"
"ASA 81 MG","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","direct","1","no"
"asa 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","direct","1","no"
"asa 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","direct","1","no"
"ASA 81 MG","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","direct","1","no"
"ASA 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","direct","1","no"
"ASA 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","direct","1","no"
"ASA 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","direct","1","no"
"asa 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","direct","1","no"
"asa 81 mg aspirin","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","word","1","no"
"ASA 81mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","simple","1","no"
"ASA 81mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","simple","1","no"
"ASA 81mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","simple","1","no"
"ASA 81mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","simple","1","no"
"ASA 81mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","simple","1","no"
"ASA 81mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","simple","1","no"
"ASA 81MG","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","simple","1","no"
"asa 81mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","simple","1","no"
"ASA 81mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","simple","1","no"
"ASA 81mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","simple","1","no"
"ASA DAILY DOSE 81MG","Multivitamins & Multiminerals Formula For Women Tablet","02242937","","","natural","word","1",""
"ASA Daily low dose","ASA DAILY LOW DOSE","02243101","B01AC06","28:08.04.24","drug","direct","1","no"
"ASA81mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","simple","1","no"
"asacol","ASACOL","01997580","A07EC02","56:36.00","drug","direct","1","no"
"Asacol","ASACOL","01997580","A07EC02","56:36.00","drug","direct","1","no"
"asacol","ASACOL","01997580","A07EC02","56:36.00","drug","direct","1","no"
"asaphen","ASAPHEN","02009013","N02BA01","28:08.04.24","drug","direct","1","no"
"asaphen","ASAPHEN","02009013","N02BA01","28:08.04.24","drug","direct","1","no"
"asaphen","ASAPHEN","02009013","N02BA01","28:08.04.24","drug","direct","1","no"
"asaphen 80 mg","ASAPHEN","02009013","N02BA01","28:08.04.24","drug","word","1","no"
"asaphen e.c.","ASAPHEN E.C.","02238545","N02BA01","28:08.04.24","drug","direct","1","no"
"asaphen ec","ASAPHEN EC","02247550","B01AC06","28:08.04.24","drug","direct","1","no"
"asaphen ec","ASAPHEN EC","02247550","B01AC06","28:08.04.24","drug","direct","1","no"
"Asaphen EC","ASAPHEN EC","02247550","B01AC06","28:08.04.24","drug","direct","1","no"
"Aspirin 81mg","ASPIRIN 81MG","02237726","B01AC06","28:08.04.24","drug","direct","1","no"
"Aspirin 81mg","ASPIRIN 81MG","02237726","B01AC06","28:08.04.24","drug","direct","1","no"
"Aspirin daily low dose","Multivitamins & Multiminerals Formula For Women Tablet","02242937","","","natural","word","1",""
"astaFX","Astafx","80025324","","","natural","direct","1",""
"Astaxanthin","Astaxanthin","80034978","","","natural","direct","1",""
"astaxanthin","Astaxanthin","80034978","","","natural","direct","1",""
"astaxanthin","Astaxanthin","80034978","","","natural","direct","1",""
"atacand","ATACAND","02239090","C09CA06","24:32.08","drug","direct","1","no"
"Atacand","ATACAND","02239090","C09CA06","24:32.08","drug","direct","1","no"
"Atacand","ATACAND","02239090","C09CA06","24:32.08","drug","direct","1","no"
"Atacand","ATACAND","02239090","C09CA06","24:32.08","drug","direct","1","no"
"Atacand","ATACAND","02239090","C09CA06","24:32.08","drug","direct","1","no"
"Atacand","ATACAND","02239090","C09CA06","24:32.08","drug","direct","1","no"
"Atacand","ATACAND","02239090","C09CA06","24:32.08","drug","direct","1","no"
"atacand","ATACAND","02239090","C09CA06","24:32.08","drug","direct","1","no"
"ATACAND 8MG","ATACAND","02239090","C09CA06","24:32.08","drug","word","1","no"
"Atacand Plus","ATACAND PLUS","02244021","C09DA06","24:32.08 40:28.20","drug","direct","2","no"
"atacand plus","ATACAND PLUS","02244021","C09DA06","24:32.08 40:28.20","drug","direct","2","no"
"atacand plus","ATACAND PLUS","02244021","C09DA06","24:32.08 40:28.20","drug","direct","2","no"
"Atacand plus","ATACAND PLUS","02244021","C09DA06","24:32.08 40:28.20","drug","direct","2","no"
"atenolol","ATENOLOL","00828793","C07AB03","24:24.00","drug","direct","1","no"
"atenolol","ATENOLOL","00828793","C07AB03","24:24.00","drug","direct","1","no"
"Atenolol","ATENOLOL","00828793","C07AB03","24:24.00","drug","direct","1","no"
"atenolol","ATENOLOL","00828793","C07AB03","24:24.00","drug","direct","1","no"
"atenolol","ATENOLOL","00828793","C07AB03","24:24.00","drug","direct","1","no"
"atenolol 50 mg","ATENOLOL","00828793","C07AB03","24:24.00","drug","word","1","no"
"Athletic Greens Premium Superfood Cocktail","Greens","80025575","","","natural","word","2",""
"atio Domperidone","DOMPERIDONE","02238341","A03FA03","56:32.00","drug","word","1","no"
"Ativan","ATIVAN","02041464","N05BA06","28:24.08","drug","direct","1","no"
"ativan","ATIVAN","02041464","N05BA06","28:24.08","drug","direct","1","no"
"Ativan","ATIVAN","02041464","N05BA06","28:24.08","drug","direct","1","no"
"atorvastatin","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","direct","1","no"
"atorvastatin","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","direct","1","no"
"atorvastatin","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","direct","1","no"
"atorvastatin 1-0 mg","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","word","1","no"
"atorvastatin 10 mg","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","word","1","no"
"atorvastatin 20  g","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","word","1","no"
"atorvastatin 20 mg","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","word","1","no"
"atorvastatin 20 mg","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","word","1","no"
"atorvastatin 40 mg","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","word","1","no"
"atorvastatin 40mg","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","word","1","no"
"atorvastatin 80 mg","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","word","1","no"
"atorvastatin 80 mg","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","word","1","no"
"atorvastatin ca","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","word","1","no"
"Atorvastatin Calcium","CALCIUM","02175584","A12AA C10AA05","24:06.08 88:29.00","drug","word","2","yes"
"atorvastatin calcium","CALCIUM","02175584","A12AA C10AA05","24:06.08 88:29.00","drug","word","2","yes"
"atorvastatin calcium","CALCIUM","02175584","A12AA C10AA05","24:06.08 88:29.00","drug","word","2","yes"
"atorvastatin calcium","CALCIUM","02175584","A12AA C10AA05","24:06.08 88:29.00","drug","word","2","yes"
"Atrovent","ATROVENT","00731439","R03BB01","12:08.08","drug","direct","1","no"
"atrovent","ATROVENT","00731439","R03BB01","12:08.08","drug","direct","1","no"
"Avalide","AVALIDE","02280213","C09DA04","24:32.08 40:28.20","drug","direct","2","no"
"Avalide","AVALIDE","02280213","C09DA04","24:32.08 40:28.20","drug","direct","2","no"
